feature	fd1f9e9e993e374d3a40f750a85dfa6e	X99bccd58aaeb00f98e22add40be6e36b	X6420671c26eef32065e0275c8cd6701e	f864ed2c52dd0ee16ed932d4c4c166de	b4f28264f150902936030ef29ce2a10a	X9b6acfb0708fe91f75081d6801659932	X5cb0182033909c6dea7fc6cb598436a5	e93b313352019b8113e7fc66bf757917	X9ee9d7f1e7a96963f1ee2668f858fced	b407c0316dbd17ba50708ee7a6bb48e6	e23db0927268e80a7bc629e7793e11d4	X55b7688dfd42d9b2545d67bb5b0f086c	X1569f7ae988e26c905ab8fab427c8a0d	X08a0cf376add32f3f4b57ec1e82a7a27	be22632d5e3f6175707a3213d7a90ad2	b6ecd20f301035741915d6c32bda2410	eafd20ce1f25fbd8c737f0086f81c11b	X44158349d8858abc6c04aada0c131da5	X4b7712254e4dd8d5bc585d4a6c5c2e88	d114fb4c335125128be28401522dd41a	fd496fd32dc8c08ade2e8b6c9d8ee13d	ee6b0302402ac29fe5a19e51672a3283	X302d0c312461ee75b22821e954f88ba9	X1a65b568a8cbab6afc60587b3a3562c3	a92e27080262556ed1c060b8411141f6	X799b4308ac6b3570302274b3843bbbba	X573a1b003a4f1a5c8da6c21d22650fb2	X89f8b6cf08a9c941be608629f1287d09	X6be00ecd6672ff69a6afcffc4c0ea0e2	c1624e84b1704a8e5f5f2a41d8737493	X16294d1e7cbbbf2f60c486bd6b193b90	d71658ca9c27d685841dfca61823eb95	X2b1619989536df3d37e221dcc84ba7bc	X959aeca1a65ce24599aaed29828c33f0	a83d067822df1efdda6e0848ca920d14	f22e4f0d218aa62ff1ca039104d15a68	X17b8cbca2743de33484d559e0bf12cc9	X8feccd7313bcb9c4ded7d044b77ea1af	X6feb7dcd3b2f67420b420039a234198e	X168dc8cb9285963c9ab81ea2875b5d98	f180ce7374201d84cccd514044fc1f99	d611e03044e800bf023cfc92bec2106a	a730ef0685ea600be854be1842a6b362	e51fc3bc6d08ae82b3299bff3739b1f6	X58da6988f3a0fae09c061e9775e35980	f934328f40dd0490f0ba1e8b34dff01e	cc1c1f8febcd19956e4fe51b367672fb	e4d7ec116468af7a897667872f28e30d	X9772f92f79ea8b9d8fcddf2410e06802	X6726c2626997de6acc25552de5f09d82	X970b8c4828f3cc86fab57e48bb8fad63	X7c3550e521d8dd035366eac5c64f2e47	b7d000a0302fb186f0c0d3ed19e7fc1f	X6ab475426af806ca2528a3b20d77cde8	X629f41c0de31ba20f5d2b3f4c69e09c1	X72bf6f8e32de3042bcea08f2a8fffae0	X35195a80f6fb69ef8bd6827d1b045aad	de7606f9f340dfe3787aad590dc88e9e	X5f8d35126b0a7321413d21487ec72b73	X419af6db3c0709d63ffc1933ab11b24c	X2fb5a4a7d5e419920ec9257327a118ca	X8e493df449e84acb4e24f5811ff3599b	a663a01aeb4dbb88bbe0a9840e8f64dc	X533b6c05a74b2c25a94f884d6fe42f9d	e865f29a716e8d51f83931befa951240	X743f7360159fe13c57904b195e80859f	c16dcac354d2cf6baf9294c744a1ebe5	d60b96014cef09d74aaa2fa1fbc9f3ac	X7c3d7711fd15460714ece118b35c0576	f5d95230ea5c7be589ebfb2654751f6a	X3578cafb57e4b2ca4748b46cf444ac12	X12427d591e0e9445da48e730b2db3b9a	c8b4d41f5529f56772e9988166516372	X255d3e378354ea91e18121d620d94e79	b7a1c874d8d176c53435ea5b3fd10286	X55beed6d1a19ce34788b66488ffe3917	dde9400c29c51f5923cda7253649204b	X0c053c38cdbe319bdd539363e59dcc31	X286cdd25e778d56bcb2d8fe45c803961	X8ca8266de22f80a38cc348f66f911331	X0f94d5594dec0e0879f3da115d859f2c	d00a3564e47e0d67440f9a4c47307f59	X693de09a317c267d5af55841893aec6e	bbbf807fccaf8b5896d4eb82f2ca7cb6	X9f13b19008d5919b2d49905d2ca06b99	db707b4e4367788f6f0f53525b62c61d	df192232ea85bc2f6a3adcadaa22b4e3	bc9f5044e47b189552e9b5746eccd751	X031b77a75bff7a6723d26e7e2fee4609	ce6b1ca94056d100a1df87a6ed7a90bc	X77179c914d854ab269c8f9ae2e709647	X24ac1cbe3fb5bb0861a7639da9aa87f4	X7c2872d44cd07d6000ee0ee0c689d778	X3955aedaf9628d8081af01e5708cc9d3	X1d8b84a03912257db768016645b454a9	f61299313ce0559d2a53d6b9a43edecf	abca3120681f80e5a837b07d3c11056e	X6facdf45c29be6603b1ecd81fe753105	d36c7fad0a492ec8635894778c85d7c5	X6e2d800e4a8396f0f698ad0060b1e90b	X78f454d600bcc8b21d364dce8d58cf4e	babd95935bd068424c6c2dc26382ece0	fdd1c7df7465312a55da2edab91d6ae3	X5959ef7d798c80eafd917b45eb54f1c0
X11402.MC069.fastq.gz	0	19	0	0	0	0	0	0	0	0	23	0	137	365	0	17	13	52	0	0	70	0	0	0	14	0	0	1140	0	15	114	35	0	0	0	3431	19	10	0	2079	51	7	49	20	0	0	11441	77	0	0	0	4	5	0	7	5	0	0	132	0	3	0	544	0	0	79	0	17	3	30	880	5083	0	0	0	0	0	0	77	0	0	0	0	0	357	608	60	0	0	230	2301	0	25	0	0	127	0	0	14	0	0	236	1425	24
X11402.MC081.fastq.gz	0	31	12	0	10	0	0	0	0	0	81	0	0	0	0	0	80	0	0	0	4850	0	0	0	35	0	0	2377	0	0	0	0	0	0	12	220	32	0	0	15036	0	0	0	0	0	0	1185	0	0	0	0	0	0	0	106	0	0	0	44	0	0	0	2838	0	0	16	0	15	6	0	0	0	0	0	0	0	2	0	3	0	0	0	71	0	205	762	0	0	0	112	179	0	0	0	0	9	0	0	0	0	0	0	451	5
X11402.MC082.fastq.gz	0	0	3	0	38	0	0	0	0	0	10	0	0	22	93	19	1721	121	8	28	843	166	3498	9	9	0	9	0	0	0	0	20	0	81	0	619	13	0	0	9753	11	20	39	0	0	0	2012	0	388	0	0	655	178	16	2	0	91	79	11	0	0	0	46	18	0	24	0	700	3	0	2388	1104	0	625	0	0	0	0	52	6	0	0	3	193	277	37	1636	0	9	0	3474	26	0	72	0	0	134	233	0	18	110	20	274	0
X11402.MC083.fastq.gz	10	0	24	0	31	0	9	0	0	0	197	129	0	976	4	0	0	546	0	0	52	0	6	0	0	0	0	3780	37	28	0	50	31	0	50	1990	0	0	0	8086	131	0	152	0	0	54	18412	75	6	0	0	51	13	0	36	2	0	0	25	0	0	0	150	0	0	0	0	6	101	266	452	7491	16	227	0	0	16	0	969	33	0	0	0	0	10	71	105	0	0	86	278	0	28	24	0	542	0	31	0	0	0	21	1241	100
X11402.MC084.fastq.gz	0	0	127	0	0	20	0	0	0	0	0	0	0	0	0	0	7	0	0	3	1166	43	0	17	71	0	12	0	0	0	0	0	0	4	0	142	13	0	0	3718	0	0	0	0	0	0	754	16	344	0	0	0	839	0	40	0	0	0	7	0	0	3	107	0	1308	11	0	274	0	0	2670	340	0	54	2	0	24	0	6	0	426	0	72	564	6733	122	1080	288	31	0	4619	1575	0	2989	728	0	2134	360	0	0	17	0	69	0
X11402.MC085.fastq.gz	0	0	396	0	0	0	0	0	0	0	0	0	0	7	15	0	56	0	2	0	2370	0	7	0	98	0	0	0	0	0	0	0	0	32	0	211	8	7	0	5412	0	0	0	0	0	0	19	0	0	2	0	0	277	0	8	0	0	0	0	0	0	0	11	0	772	66	131	15	0	0	1962	386	0	0	0	0	0	0	0	0	89	0	0	189	616	873	657	0	0	0	859	1642	0	533	81	70	0	125	0	64	0	0	29	0
X11402.MC086.fastq.gz	0	0	0	38	0	0	3	0	0	13	0	0	5	0	209	74	0	6	9	7	270	0	144	0	4	0	0	0	3	0	3	0	0	5	0	778	0	0	0	5835	39	0	57	0	0	0	92	104	77	0	0	89	164	0	0	0	32	445	12	18	0	0	23	500	232	0	0	64	10	12	336	504	6	331	0	4	0	0	20	49	0	0	0	290	1117	5	1517	0	0	0	1692	278	0	3642	0	0	9	29	0	0	51	0	62	0
X11402.MC088.fastq.gz	3	375	0	0	0	0	0	2	0	0	119	0	0	0	0	0	528	0	63	0	400	0	1815	0	693	0	0	0	0	0	0	2	0	0	0	187	45	0	0	18493	8	57	19	0	7	0	251	97	0	0	0	1723	116	0	29	0	0	0	36	0	0	0	79	0	0	0	0	6	0	29	0	0	7	0	0	0	0	0	35	70	0	0	0	0	0	118	0	0	0	9	0	0	0	0	0	59	0	0	0	4	0	0	228	160
X11402.MC096.fastq.gz	0	0	0	0	0	0	0	0	43	11	4	0	0	0	6	7	0	103	0	0	712	0	1465	16	863	0	6	0	0	0	0	0	0	0	32	1406	6	0	9	21846	0	0	0	0	0	0	346	0	0	4	0	794	507	0	44	0	0	0	229	0	0	0	192	0	0	0	0	0	0	23	0	9	0	0	0	0	0	0	6	0	0	0	0	5	0	607	580	0	0	0	164	16	0	73	0	0	2	0	0	0	0	0	98	0
X11402.MC098.fastq.gz	0	0	38	0	0	0	2	0	0	0	0	58	15	0	135	0	1982	0	0	0	303	3	0	0	194	0	4	0	0	0	0	5	0	34	0	105	50	0	0	21602	14	0	0	0	0	0	3083	0	344	13	0	1055	164	0	47	0	0	0	35	0	0	0	199	0	0	0	0	26	0	0	312	1581	0	0	0	0	8	0	26	0	0	0	0	0	20	63	737	0	0	0	1248	0	0	0	0	0	0	0	0	0	0	0	696	0
X11402.MC099.fastq.gz	0	0	58	0	0	0	0	0	0	2	61	0	0	0	279	0	0	125	0	0	22	0	276	0	19	0	0	69	0	29	0	0	42	0	0	289	0	0	0	4809	21	0	17	0	0	0	6853	0	1815	0	0	66	902	0	3	3	26	0	400	0	0	0	105	0	0	0	0	137	0	4	24	2286	9	0	0	0	0	0	350	0	0	0	0	0	6	13	364	0	0	34	1093	0	0	0	0	0	0	0	0	0	0	0	260	0
X11402.MC100.fastq.gz	4	0	6	0	0	0	0	0	0	0	24	0	0	66	0	0	12	207	57	0	650	0	301	0	162	0	8	0	6	9	0	0	0	0	0	440	11	0	0	12822	3	3	0	9	0	0	5436	30	0	19	0	0	3	40	5	0	0	0	107	37	0	0	105	0	0	0	0	0	17	28	214	45	0	0	0	5	0	0	62	0	0	0	0	31	0	657	369	0	0	0	1006	0	0	945	0	34	15	13	10	0	0	0	920	0
X11402.MC101.fastq.gz	28	20	201	0	0	0	0	0	22	29	0	0	0	0	48	0	0	183	0	0	560	11	0	21	1419	26	23	0	0	0	0	0	0	0	0	985	58	0	42	28621	0	0	0	0	0	0	950	0	20	0	0	1411	0	0	90	9	0	0	267	0	0	0	241	0	429	7	0	19	0	96	1924	0	24	0	0	0	33	13	190	301	0	0	0	6	0	489	937	0	0	275	307	0	0	334	0	0	8	0	36	154	348	0	299	0
X11402.MC104.fastq.gz	0	0	7	0	0	0	0	0	0	0	0	0	0	1261	170	8	21	781	0	0	297	14	399	0	13	0	0	0	0	16	0	39	0	4	0	634	4	4	0	6733	4	0	0	0	0	0	423	162	5008	0	0	6	18	0	0	0	0	991	0	0	0	0	0	10	185	44	0	66	4	0	764	1831	0	331	61	21	0	0	13	8	96	66	93	83	113	0	381	4	208	5	487	93	0	421	89	0	4587	57	13	46	739	78	97	0
X11402.MC107.fastq.gz	0	0	0	2	0	31	0	0	0	0	20	0	0	0	0	0	0	0	0	0	449	44	11216	0	131	0	0	6	0	5	0	0	0	0	0	84	28	0	12	28563	12	4	0	0	4	0	29	0	0	0	18	0	604	237	25	8	0	0	78	0	0	0	74	0	0	0	0	122	0	37	64	0	0	0	0	0	12	0	3	0	0	0	0	206	399	164	797	0	0	0	2025	0	0	0	0	16	0	0	0	0	0	0	268	19
X11402.MC108.fastq.gz	0	0	36	0	0	0	0	0	0	3	0	10	0	2791	0	0	129	107	41	0	1980	0	0	23	65	0	15	0	7	0	0	0	0	60	0	104	46	23	0	10318	173	0	0	0	0	0	2765	0	0	11	5	0	0	0	89	3	0	0	206	32	0	4	1270	0	0	440	0	302	0	68	0	382	0	0	0	0	6	9	48	0	0	0	0	0	1619	2267	360	0	0	0	6574	0	0	628	0	134	103	895	19	0	51	0	427	583
X11402.MC110.fastq.gz	0	0	58	0	0	0	0	0	0	0	51	0	0	0	0	0	184	0	0	0	869	0	89	25	0	0	13	153	0	0	0	0	0	0	0	1124	17	0	7	11509	272	0	15	0	97	0	651	19	236	0	0	0	1155	5	42	0	0	0	17	0	0	0	118	0	0	0	0	120	0	21	1243	105	0	365	0	6	0	0	9	52	0	19	0	358	2842	37	1685	0	0	0	1633	36	0	588	0	9	64	13	0	0	5	0	152	0
X11402.MC111.fastq.gz	0	21	448	0	0	0	0	0	0	0	42	0	0	0	0	0	387	0	0	0	12	13	3543	0	1345	3	0	0	0	0	0	60	0	0	0	688	7	0	8	14511	0	0	0	0	0	0	5833	0	0	0	0	0	0	0	14	4	0	0	2572	0	0	0	1285	0	0	144	0	0	49	0	0	0	0	0	0	0	0	47	165	0	0	0	0	2108	12	310	0	0	0	0	586	0	0	1282	0	0	78	0	0	0	0	0	1407	290
X11402.MC113.fastq.gz	0	38	0	0	0	0	0	0	0	0	22	198	0	0	330	0	0	5600	0	0	99	0	2447	12	418	0	0	0	0	0	0	34	0	3	0	61	12	0	0	11889	0	0	0	311	0	0	3608	604	720	3	0	369	69	0	8	2	0	0	0	0	0	2	50	0	0	0	0	0	0	0	359	34	0	0	0	0	0	0	0	0	0	0	0	0	6	58	307	0	0	0	270	0	0	0	0	7	0	0	0	0	0	0	139	0
X11402.MC133.fastq.gz	0	13	9	0	0	0	0	3	0	3	0	0	0	0	0	0	13	0	0	0	644	0	4	54	168	15	2	0	0	0	0	0	0	0	0	2199	0	2	7	25515	0	0	0	0	0	0	3724	0	0	9	0	0	4	0	96	0	0	0	187	0	0	0	415	0	0	14	0	0	0	0	0	0	0	0	0	0	7	0	76	0	0	0	0	0	0	1736	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	5	0
X11402.MC148.fastq.gz	0	0	0	0	0	0	0	0	0	0	18	0	3	660	3	0	30	380	98	0	507	0	0	0	329	0	0	0	0	8	0	24	0	10	0	2736	0	0	0	4183	13	0	23	0	0	0	1849	101	506	0	0	50	0	0	20	0	8	0	14	0	0	0	281	0	0	0	0	46	0	0	0	3617	0	0	0	0	0	0	43	0	0	0	0	0	0	193	48	0	0	17	539	64	0	0	7	97	0	0	9	0	0	194	205	0
X11402.MC151.fastq.gz	0	0	362	5	0	0	8	0	0	0	0	0	12	4	0	0	3	0	0	8	2107	223	8	32	52	0	17	0	0	7	0	0	9	0	0	537	33	2	2	8549	3	0	13	0	67	0	1371	5	4	0	0	10	79	0	28	4	138	1865	16	0	0	8	327	5	995	32	0	138	0	91	330	109	4	106	0	3	28	0	22	0	243	0	0	495	2293	2938	800	0	13	0	2088	486	0	981	0	87	0	0	7	0	0	0	20	0
X11402.MC154.fastq.gz	0	89	35	0	0	0	0	0	0	0	12	0	0	13	0	0	0	0	0	0	432	21	5193	0	296	0	0	0	0	0	0	0	45	0	0	33	13	0	0	17712	0	0	0	0	0	0	121	0	0	3	0	0	106	0	16	5	0	0	140	57	0	0	236	0	0	18	0	9	0	0	0	154	0	0	0	0	0	0	8	0	0	0	0	1223	0	799	0	0	0	0	1496	0	0	4	514	0	0	0	0	23	4	0	79	0
X11402.MC156.fastq.gz	0	0	0	20	0	0	0	4	0	0	0	0	0	0	0	0	100	31	9	0	6990	0	331	10	187	0	0	6	0	0	15	0	0	19	0	195	17	4	2	5200	3	0	0	0	0	0	212	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	28	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	5	0	0	12	0	0	0	0	0	0	0	0	0	0
X11402.MC158.fastq.gz	0	49	0	2	0	0	0	0	0	2	440	0	0	2	0	0	20	0	0	0	155	0	2716	0	1213	0	0	9	0	0	0	0	7	0	8	475	31	0	0	19148	4	0	0	0	0	4	1442	0	0	0	0	0	0	4	44	6	0	0	0	0	0	0	356	0	0	17	0	0	0	137	0	4	0	0	0	0	0	0	76	0	0	0	0	0	0	911	463	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	35	0
X11402.MC160.fastq.gz	0	30	88	0	0	0	0	0	0	0	211	0	0	0	0	0	10	40	0	0	1996	0	158	0	339	0	0	0	0	0	0	0	0	0	0	356	15	9	0	16917	0	0	0	0	0	0	437	0	0	7	4	0	1179	0	2	0	188	0	0	0	0	0	223	0	0	0	0	6	0	0	0	144	0	105	0	0	0	0	10	0	0	0	0	0	0	819	190	0	0	0	159	0	0	0	0	0	13	0	0	0	0	10	0	0
X11402.MC167.fastq.gz	0	0	32	0	0	0	0	0	0	0	20	68	15	61	0	0	0	71	65	4	293	108	5475	0	150	0	0	652	0	0	0	34	0	0	0	902	4	0	0	10594	64	0	0	0	0	59	8424	0	0	0	0	0	12	0	30	0	0	0	72	0	0	0	210	0	0	6	114	66	19	0	181	774	0	321	0	0	13	0	60	3	0	0	0	449	131	414	200	0	0	0	1058	0	52	68	0	0	0	51	0	0	12	0	235	141
X11402.MC169.fastq.gz	0	0	7	363	0	0	0	0	0	0	15	0	0	0	0	0	85	81	0	9	573	19	4194	21	439	0	25	18	0	0	0	9	413	15	0	729	41	5	0	21802	0	0	0	0	0	0	1751	0	0	8	0	586	2	20	9	0	0	0	30	0	0	0	45	0	43	8	0	147	0	0	958	311	0	0	0	0	0	0	6	0	0	0	0	59	217	252	1018	0	0	0	647	0	0	105	69	0	0	8	0	0	0	0	40	22
X11402.MC170.fastq.gz	0	0	0	0	0	0	0	0	4	0	0	0	0	5152	0	0	24	20	226	14	4791	33	281	8	171	3	13	0	0	0	0	5	12	0	0	1468	52	10	0	13800	0	0	0	0	0	0	792	0	423	37	0	6	798	58	2	0	0	0	0	0	0	0	2354	0	0	351	0	0	0	0	0	3730	0	0	0	0	0	0	6	0	0	0	0	0	0	5191	159	0	0	0	547	0	0	26	0	0	0	0	0	0	0	0	182	0
X11402.MC171.fastq.gz	0	0	33	0	0	0	10	0	4	0	13	4	0	2	0	0	269	0	25	0	3795	2	52	0	672	77	42	0	0	0	7503	0	0	94	0	738	62	42	0	7730	0	0	0	0	0	0	28	0	20	14	0	167	0	0	0	0	0	0	0	0	0	8	181	0	3	44	0	0	0	0	10	338	0	0	0	0	0	0	0	0	0	0	0	0	21	51	4	0	0	0	17	0	0	8	0	26	0	0	0	0	0	0	0	0
